Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel,Background,tag
"874.28,382.588","789.984,329.61","743.041,337.437","699.931,478.551","666.653,615.691","835.048,319.842","835.015,468.717","827.298,572.533","641.132,335.541","605.888,341.388","660.686,492.281","674.414,715.616","680.311,319.823","746.955,505.941","760.625,682.234","882.1,368.82","901.661,372.739","846.805,321.729","0.0,0.0","823.346,698.07","823.36,696.035","745.048,695.989","697.983,715.584","682.265,715.642","678.357,715.646",0,1
"880.166,384.443","790.086,331.574","744.911,337.437","701.891,478.539","666.66,615.7","837.046,323.746","835.073,466.771","829.184,572.554","647.022,337.434","605.9,341.366","660.708,494.164","670.489,715.602","686.193,319.825","746.965,505.981","760.598,680.325","884.03,368.891","903.633,374.706","846.873,321.825","0.0,0.0","823.358,698.06","823.367,696.023","745.041,695.956","699.913,701.887","682.264,715.634","672.49,715.641",0,1
"884.122,384.453","792.065,333.535","745.012,335.459","703.826,478.487","666.673,615.667","839.056,327.701","835.091,466.82","829.185,572.559","648.974,337.442","609.81,343.345","662.641,490.276","672.487,715.619","688.164,319.822","750.861,507.858","760.618,682.254","886.074,368.902","0.0,0.0","848.818,321.865","0.0,0.0","823.346,698.08","823.364,696.063","746.914,696.012","696.032,715.601","0.0,0.0","682.264,715.637",0,1
"886.071,384.419","795.921,333.562","748.89,335.528","707.721,478.508","666.629,617.632","840.999,327.696","837.063,468.705","831.141,572.554","652.88,339.422","615.656,349.184","668.578,482.48","668.567,715.616","694.047,323.753","760.583,500.102","760.629,682.217","891.901,370.738","0.0,0.0","852.616,321.806","0.0,0.0","823.309,698.058","823.334,696.05","745.053,695.996","696.028,715.587","680.352,715.648","0.0,0.0",0,1
"888.02,382.55","803.702,333.566","754.776,331.573","709.645,478.5","666.671,617.631","846.848,333.567","837.11,470.69","829.248,572.525","664.639,349.188","619.564,351.123","672.465,488.335","670.528,715.605","719.477,362.924","760.715,509.862","760.641,682.236","891.898,368.826","0.0,0.0","852.701,321.769","0.0,0.0","823.358,699.9","823.372,696.07","745.023,695.976","696.019,715.589","680.292,715.647","0.0,0.0",0,1
"886.028,382.455","805.614,335.495","756.716,331.592","709.639,478.548","666.689,617.613","848.805,335.514","838.928,470.672","831.149,572.532","666.606,349.224","619.562,351.193","674.441,492.206","670.552,715.603","713.632,343.344","0.0,0.0","0.0,0.0","888.022,366.906","0.0,0.0","852.749,319.872","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","695.979,715.589","680.318,715.642","0.0,0.0",0,1
"886.112,382.472","805.672,335.55","758.63,331.618","707.765,480.471","666.695,617.596","848.82,337.463","838.966,470.722","829.211,572.52","666.584,347.267","619.577,351.154","678.37,490.295","674.43,715.618","723.427,362.911","762.595,509.865","760.596,682.225","891.869,366.861","0.0,0.0","854.62,319.845","0.0,0.0","823.354,699.889","823.361,696.06","744.945,695.94","696.031,715.593","682.27,715.646","680.322,715.638",0,1
"886.054,382.486","805.728,335.531","760.591,333.506","709.7,478.537","668.539,617.571","850.73,337.43","838.979,472.643","829.229,572.488","664.638,347.246","619.594,349.212","678.348,492.229","676.361,715.614","709.699,339.424","760.686,507.956","758.752,682.26","888.024,366.828","0.0,0.0","854.718,319.858","0.0,0.0","823.323,698.073","823.328,696.029","744.907,695.975","697.95,715.592","680.324,715.651","680.323,715.64",0,1
"886.114,382.478","805.725,335.526","758.709,331.561","709.711,476.621","666.674,617.53","852.667,337.487","838.966,474.547","827.303,572.485","654.873,341.375","619.574,347.255","682.282,488.344","672.504,715.603","697.936,323.774","758.712,504.004","758.757,680.373","889.92,366.833","0.0,0.0","854.706,319.866","0.0,0.0","823.348,698.05","823.342,696.004","744.904,695.946","701.878,701.92","680.339,715.638","672.487,715.632",0,1
"886.112,382.466","805.691,335.551","758.672,331.606","709.72,476.611","666.659,617.591","850.747,337.466","838.946,474.538","827.274,572.528","662.682,339.422","619.603,343.365","678.322,490.294","672.467,715.592","699.914,319.844","758.694,504.007","758.704,680.301","888.045,366.844","0.0,0.0","854.665,319.904","0.0,0.0","823.298,698.022","823.304,695.988","743.066,695.889","699.952,700.009","680.325,715.633","672.469,715.62",0,1
"884.107,382.528","805.626,335.539","758.621,331.58","707.78,476.632","666.59,617.534","848.821,337.47","837.06,470.676","825.338,570.642","660.738,339.424","619.587,347.241","676.405,492.195","674.414,715.597","699.917,321.777","758.729,504.022","758.628,680.314","885.976,366.912","0.0,0.0","852.757,321.716","0.0,0.0","821.353,698.045","821.354,696.004","743.004,695.888","699.925,701.916","678.335,715.637","672.502,715.622",0,1
"885.975,382.556","803.766,335.488","758.652,329.61","707.704,476.617","664.723,617.525","846.842,337.475","837.05,468.764","825.273,570.635","674.421,349.2","619.642,347.287","670.528,488.307","668.55,701.917","729.252,366.865","760.664,509.859","756.709,680.316","886.012,366.917","0.0,0.0","852.706,319.908","0.0,0.0","819.411,698.047","819.414,695.984","742.923,694.042","699.894,700.011","680.309,715.627","666.634,715.621",0,1
"883.993,382.517","799.825,333.576","754.762,329.641","701.918,478.479","664.593,617.549","840.98,333.545","837.0,466.761","823.354,570.627","664.651,341.403","617.662,347.269","674.434,478.558","668.527,705.809","727.319,366.836","760.687,500.11","754.78,680.254","884.095,366.895","0.0,0.0","852.648,319.818","0.0,0.0","821.341,698.037","821.335,695.994","741.055,693.966","698.02,700.021","678.375,715.632","666.638,715.624",0,1
"883.98,382.57","797.837,335.464","748.918,331.591","699.938,478.478","662.719,615.678","840.947,333.543","835.093,464.878","823.254,570.623","674.428,349.202","619.544,349.214","680.266,482.427","666.679,703.854","729.342,368.838","760.663,505.95","756.645,680.243","884.067,368.726","0.0,0.0","850.757,319.842","0.0,0.0","821.375,698.009","821.353,695.97","742.905,693.962","697.977,699.977","678.371,715.628","666.61,715.623",0,1
"882.121,384.407","795.876,335.468","746.955,333.52","697.987,478.462","662.686,613.693","840.95,333.522","831.198,466.774","821.396,570.55","672.476,349.229","619.544,349.201","670.5,480.472","666.639,701.911","729.239,368.838","760.612,498.126","752.817,678.349","883.982,368.789","0.0,0.0","850.712,319.813","0.0,0.0","821.329,698.04","821.337,696.013","741.018,692.064","697.954,699.945","680.292,715.626","666.619,715.625",0,1
"882.094,382.597","793.973,335.532","745.034,335.499","697.976,476.567","660.741,613.667","840.957,333.544","829.247,466.78","821.404,570.597","660.724,343.34","615.67,347.272","674.419,482.452","666.524,699.895","725.377,366.875","758.727,498.107","752.802,678.386","882.092,366.94","897.804,372.77","850.73,319.818","0.0,0.0","821.301,698.043","821.307,696.02","740.975,692.095","697.939,699.937","680.307,715.623","664.638,715.62",0,1
"882.124,382.557","793.972,335.467","746.915,333.509","697.919,476.594","660.759,609.814","839.054,331.606","829.192,464.874","821.39,568.673","660.738,343.323","615.647,347.253","666.653,486.373","664.674,703.838","725.365,368.81","758.681,496.168","748.934,676.393","883.997,368.74","0.0,0.0","850.707,319.848","0.0,0.0","821.313,698.029","821.322,695.996","739.034,690.141","697.932,699.97","680.285,715.632","664.655,715.63",0,1
"880.166,382.531","792.022,335.445","744.945,335.497","697.898,476.584","660.739,609.821","838.974,327.67","829.209,464.855","821.393,568.609","656.799,339.449","613.687,347.241","668.583,484.385","664.685,697.997","723.422,366.83","758.686,494.243","750.867,674.454","882.072,366.904","0.0,0.0","850.732,319.819","0.0,0.0","819.39,698.042","819.417,696.007","739.067,688.179","697.924,699.947","680.31,715.627","664.65,715.621",0,1
"878.22,382.488","793.988,333.511","746.912,331.588","697.964,476.522","662.617,607.833","839.032,327.706","829.214,464.853","821.386,566.695","658.759,341.402","613.697,347.259","672.484,480.482","666.616,701.879","725.374,366.891","758.738,494.15","752.768,670.537","882.033,366.899","0.0,0.0","852.611,319.818","0.0,0.0","819.373,698.035","819.423,695.968","739.099,686.213","697.967,699.987","0.0,0.0","666.625,715.622",0,1
"880.148,382.427","795.891,333.497","746.958,333.51","698.044,476.55","662.661,605.885","839.067,327.704","829.222,464.811","821.41,568.604","662.69,345.289","615.654,349.198","680.288,480.535","666.574,699.935","727.305,368.818","760.688,496.197","750.877,668.576","882.094,366.834","0.0,0.0","852.683,319.81","0.0,0.0","819.368,698.04","819.438,695.956","739.05,684.252","697.983,699.968","680.318,715.635","664.657,715.618",0,1
"880.152,382.431","795.89,333.575","746.918,333.541","698.041,476.527","662.634,605.863","840.944,331.587","831.129,462.937","821.452,566.708","660.748,341.384","615.67,349.178","680.304,480.462","666.532,699.964","727.281,368.826","762.661,496.212","750.862,668.562","883.979,366.882","0.0,0.0","852.67,319.862","0.0,0.0","819.361,698.001","821.296,695.903","737.156,684.22","698.006,699.96","680.32,715.635","662.677,715.62",0,1
"878.17,382.491","793.972,335.45","745.001,335.483","698.012,476.52","660.76,604.012","839.077,331.581","829.236,462.945","821.457,566.641","662.672,343.33","615.657,349.224","684.241,480.527","666.666,699.93","725.334,366.88","768.46,496.16","752.793,668.584","882.04,366.915","0.0,0.0","852.647,319.87","0.0,0.0","817.465,698.009","821.294,695.907","739.062,684.231","699.917,699.985","682.271,715.636","664.654,715.614",0,1
"876.247,382.485","793.978,333.511","746.928,333.559","698.044,472.657","662.645,603.964","839.029,327.683","829.244,462.922","823.251,564.705","664.665,349.201","615.674,351.162","682.237,480.507","668.629,699.956","723.387,368.811","766.509,500.104","750.824,668.594","882.039,366.93","0.0,0.0","852.614,319.858","0.0,0.0","819.364,697.966","819.425,695.879","739.049,684.287","699.941,700.022","682.278,715.636","670.503,715.618",0,1
"874.318,382.471","795.911,333.5","746.934,335.458","698.033,472.62","662.682,605.857","839.04,325.741","831.157,462.908","823.264,562.782","666.596,351.226","615.691,351.197","678.302,480.512","666.661,699.897","721.44,370.763","770.397,505.908","750.851,670.536","880.152,366.889","0.0,0.0","850.769,321.723","0.0,0.0","819.383,697.927","819.417,694.049","739.073,686.207","699.925,700.007","0.0,0.0","666.627,715.619",0,1
"880.109,382.427","795.882,333.51","746.928,335.468","698.045,476.492","664.536,603.993","839.009,325.747","833.1,462.92","823.302,562.808","664.65,349.237","615.671,351.17","678.319,488.342","666.692,697.994","719.508,366.882","768.497,502.06","752.787,668.618","884.036,366.886","0.0,0.0","850.717,321.748","0.0,0.0","819.437,697.87","821.298,693.988","739.087,684.291","701.87,700.015","682.278,715.64","666.619,715.613",0,1
"876.248,380.516","795.923,329.631","746.944,333.534","699.919,474.594","664.703,605.856","838.993,323.762","833.139,462.867","823.36,562.751","664.648,351.156","615.636,351.184","676.395,480.529","666.658,699.902","721.437,368.831","766.493,507.875","752.816,668.568","882.097,366.804","0.0,0.0","850.763,319.812","0.0,0.0","821.316,697.854","821.345,693.974","739.118,684.264","705.786,701.866","682.306,715.649","662.693,715.613",0,1
"882.048,374.698","797.859,325.696","750.859,325.751","701.889,466.786","666.613,603.936","839.036,323.758","833.133,462.872","823.405,560.841","666.606,351.203","617.568,351.156","674.434,478.486","666.683,697.999","725.319,370.792","764.535,507.898","754.728,666.666","883.993,364.852","0.0,0.0","850.734,319.853","0.0,0.0","817.456,695.983","815.505,688.168","740.989,682.345","707.737,701.866","682.281,715.645","664.647,715.611",0,1
"882.081,376.665","795.907,325.689","748.922,329.624","701.906,466.766","666.695,603.872","839.003,323.755","833.156,462.851","823.437,558.884","666.591,351.144","615.644,351.119","670.523,478.493","666.663,697.96","725.386,370.766","762.61,507.878","754.725,666.616","884.046,364.878","0.0,0.0","852.623,319.853","0.0,0.0","811.607,694.039","811.566,684.221","741.001,682.305","709.703,701.868","684.236,715.649","662.689,715.603",0,1
"884.035,376.649","797.865,325.7","752.819,327.704","705.767,470.668","670.489,601.922","839.042,323.8","835.127,462.782","825.275,560.783","662.683,349.19","615.677,351.176","676.395,490.29","668.607,699.925","725.324,366.877","762.668,503.996","756.709,666.618","885.981,364.862","0.0,0.0","852.719,319.762","0.0,0.0","817.443,690.077","815.516,682.23","742.922,682.302","711.663,699.995","690.127,715.644","666.616,715.616",0,1
"885.968,372.752","803.706,325.735","758.67,325.739","709.683,470.719","674.432,601.971","842.939,325.748","837.071,458.933","827.273,558.839","654.852,351.176","611.766,353.15","682.312,488.336","670.539,697.912","713.651,366.813","768.479,504.001","758.606,666.648","886.098,360.977","0.0,0.0","854.729,315.921","0.0,0.0","815.477,694.005","815.491,682.372","742.981,682.303","711.665,699.944","694.012,715.631","666.59,715.601",0,1
"885.961,368.764","807.631,327.671","760.652,325.698","711.704,464.858","678.296,601.995","854.669,333.539","838.946,458.951","829.214,558.878","658.763,355.096","613.715,355.127","682.298,494.176","674.461,697.928","721.43,370.766","772.364,502.043","758.751,668.553","886.056,353.217","0.0,0.0","858.602,311.982","0.0,0.0","823.284,696.003","823.319,688.174","744.907,682.363","711.625,699.96","0.0,0.0","668.583,715.604",0,1
"884.07,366.912","807.671,327.674","760.624,325.746","713.553,466.761","680.216,601.957","854.729,329.657","839.067,458.948","833.121,558.843","656.818,360.954","615.666,362.922","692.079,490.265","676.406,698.009","713.639,368.813","774.377,496.149","760.608,666.686","885.98,353.131","0.0,0.0","862.504,308.145","0.0,0.0","823.347,696.028","823.383,688.185","744.981,682.342","711.646,699.99","0.0,0.0","672.492,715.615",0,1
"887.986,366.762","811.573,331.573","760.668,329.609","713.629,468.73","680.281,601.894","866.395,333.551","842.919,453.085","835.083,556.953","658.773,364.876","619.543,366.855","688.174,513.81","676.421,697.984","717.544,374.679","782.208,505.97","760.721,668.556","887.996,351.167","0.0,0.0","866.355,308.102","0.0,0.0","825.284,696.027","825.311,688.191","746.941,682.357","713.601,699.94","0.0,0.0","668.553,715.607",0,1
"887.968,366.824","813.57,333.486","762.63,329.63","715.569,464.853","680.386,601.857","868.396,335.488","841.044,458.927","837.013,556.958","660.737,368.772","619.576,368.796","695.958,502.039","680.261,697.956","727.318,382.556","789.938,509.834","764.56,668.55","887.962,351.207","0.0,0.0","868.35,306.193","0.0,0.0","827.266,696.057","829.184,690.139","750.87,682.343","713.661,699.917","696.002,715.63","672.472,715.607",0,1
"897.772,364.906","817.43,333.541","764.569,327.691","715.626,464.799","682.261,599.999","868.409,337.461","844.858,460.801","837.098,556.927","656.815,368.816","619.607,368.858","703.844,492.204","0.0,0.0","727.296,384.524","790.026,503.969","766.551,668.534","899.668,349.237","911.481,351.223","870.347,306.113","0.0,0.0","829.254,696.017","831.145,690.101","754.739,682.336","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"895.787,366.8","819.366,333.503","768.458,325.715","715.62,464.778","682.295,599.985","870.322,337.432","846.825,458.963","838.984,556.948","660.739,368.808","619.624,368.83","711.634,494.184","682.217,697.898","729.276,384.522","791.912,505.974","770.419,666.657","897.796,351.115","0.0,0.0","872.292,306.111","0.0,0.0","831.18,695.987","831.141,688.178","756.647,682.301","719.477,699.983","699.917,715.634","674.421,715.6",0,1
"899.79,366.86","819.414,333.5","770.406,323.795","715.64,462.919","684.231,601.854","868.432,337.421","848.792,460.811","839.049,556.916","668.58,368.79","623.525,368.763","709.733,494.206","682.288,697.901","733.215,386.46","791.956,503.992","772.336,666.67","901.778,351.167","0.0,0.0","874.262,306.134","0.0,0.0","835.068,695.994","833.149,690.094","756.675,682.312","721.436,699.999","0.0,0.0","674.437,715.596",0,1
"901.69,366.925","817.445,333.491","766.51,329.62","721.42,462.823","686.24,601.878","864.462,333.55","852.649,458.967","839.11,556.876","666.594,366.833","625.492,366.852","711.677,496.142","682.313,695.974","741.017,386.435","792.049,505.928","770.442,666.644","907.548,353.07","0.0,0.0","878.174,306.169","0.0,0.0","837.002,695.979","835.086,690.082","756.677,682.279","723.438,699.969","703.841,715.631","672.493,715.583",0,1
"901.641,368.79","819.379,333.503","768.475,327.707","721.44,462.921","690.083,601.917","866.432,335.451","852.731,460.88","840.971,556.92","662.691,364.887","625.474,364.895","709.721,484.409","684.227,695.983","739.093,384.51","793.945,507.914","772.398,666.661","903.686,353.09","0.0,0.0","880.115,308.049","0.0,0.0","837.073,695.972","837.004,688.169","758.582,682.264","725.374,699.904","705.788,715.625","676.388,715.587",0,1
"549.031,225.73","541.221,243.549","525.551,243.465","531.406,288.538","566.703,323.776","556.897,247.327","554.916,296.351","570.653,333.557","537.333,339.412","523.629,339.403","513.807,411.873","507.84,478.512","549.09,339.419","549.04,413.857","545.12,478.55","541.32,217.99","554.882,219.891","539.161,221.836","556.993,223.758","547.101,490.228","554.846,488.345","543.218,480.525","0.0,0.0","0.0,0.0","507.908,480.468",0,0
"541.331,225.687","539.336,243.509","523.564,243.456","529.496,290.455","562.8,325.695","556.835,245.387","554.894,300.252","570.621,331.586","537.222,343.38","521.629,343.375","515.761,415.825","509.864,480.528","549.068,345.275","550.984,415.816","545.153,480.535","539.282,214.117","552.9,214.105","531.439,215.977","556.94,217.925","549.033,492.206","554.941,490.309","543.205,486.346","521.555,492.213","507.857,492.254","511.855,484.399",0,0
"539.205,219.957","539.244,243.459","519.629,241.52","521.635,286.505","556.854,319.804","556.919,245.451","556.958,298.266","0.0,0.0","535.333,337.492","517.738,337.464","513.762,406.073","507.847,478.546","551.034,337.542","551.006,409.942","543.147,478.534","533.358,212.121","541.332,212.139","525.587,212.175","554.954,212.142","545.116,488.347","552.955,488.302","541.249,480.501","511.822,490.251","502.023,492.21","507.937,480.51",0,1
"917.386,370.746","821.296,329.604","774.311,327.657","725.374,470.696","694.021,601.931","868.348,329.636","852.762,460.89","840.963,556.97","666.64,341.375","635.22,349.228","694.016,488.332","686.208,695.99","699.902,327.697","789.966,494.175","774.333,664.662","919.367,358.988","0.0,0.0","884.048,317.908","0.0,0.0","837.089,695.953","837.083,684.3","758.685,680.317","729.299,698.047","711.682,715.609","680.278,715.59",0,1
"525.566,214.021","527.577,241.472","507.833,241.492","505.931,288.504","539.334,312.03","554.993,241.476","556.947,288.444","0.0,0.0","531.46,335.477","511.824,335.458","511.857,406.024","507.902,480.499","552.94,335.504","552.904,409.968","543.202,478.549","523.503,210.129","533.382,210.11","513.848,210.144","543.185,210.125","545.189,488.325","553.004,486.357","543.164,480.515","521.573,490.25","507.886,492.26","509.858,482.46",0,1
"523.552,212.097","525.562,241.452","500.052,241.484","494.269,288.512","529.487,317.888","554.828,241.427","554.972,286.49","558.877,319.85","529.475,335.492","509.886,335.502","509.951,407.981","507.902,476.56","552.904,335.491","552.892,411.879","545.16,478.47","517.67,210.031","527.479,208.193","509.911,210.163","541.142,210.102","545.194,488.28","554.94,484.43","543.218,480.502","519.609,490.254","503.978,490.266","509.884,478.519",0,0
"515.773,211.995","523.665,241.443","494.178,241.481","488.346,288.515","523.646,317.86","554.853,241.412","556.941,286.546","552.98,319.775","525.577,335.476","507.887,335.485","507.821,402.173","505.916,474.597","545.184,335.488","549.034,404.054","547.095,474.612","509.948,208.114","523.573,206.227","507.949,210.096","537.336,210.06","545.174,480.48","553.003,480.49","549.034,476.622","0.0,0.0","0.0,0.0","505.977,476.546",0,0
"925.231,370.752","821.332,329.658","776.317,333.506","729.277,466.751","692.036,601.908","866.373,325.697","852.631,460.839","839.11,555.013","688.162,353.133","635.293,355.09","717.527,482.447","686.221,694.04","748.876,368.785","801.78,502.06","774.389,664.639","929.143,357.095","0.0,0.0","886.042,319.852","0.0,0.0","837.104,695.878","837.093,682.37","758.7,680.267","731.27,698.045","715.578,715.602","678.322,715.582",0,1
"921.298,370.754","821.383,329.608","778.287,327.707","729.233,470.717","690.13,601.879","866.379,327.647","852.637,460.829","839.072,556.871","674.442,351.16","635.266,353.129","709.715,482.457","0.0,0.0","745.01,368.818","799.803,496.203","774.401,664.585","927.164,357.105","0.0,0.0","886.105,319.853","0.0,0.0","837.084,694.059","837.092,682.346","758.711,678.376","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"915.386,372.731","821.337,329.601","776.359,329.648","729.213,470.679","690.086,601.887","864.443,325.691","852.616,460.812","839.076,556.842","666.585,339.435","633.309,347.229","703.839,478.497","690.13,694.033","746.954,366.827","792.014,498.117","774.341,662.697","917.355,364.863","0.0,0.0","886.095,319.867","0.0,0.0","837.07,694.024","837.07,682.321","758.666,678.321","729.355,698.068","0.0,0.0","674.438,699.963",0,1
"496.128,208.08","507.988,239.553","476.558,239.47","453.067,276.801","474.62,313.952","541.163,239.536","552.984,288.455","558.833,319.878","513.827,337.551","492.323,339.439","494.181,411.94","492.285,490.288","539.243,337.511","539.334,411.903","539.298,476.573","492.292,198.385","505.893,196.447","492.219,202.289","521.62,196.432","541.238,480.472","547.063,482.432","541.236,476.562","0.0,0.0","0.0,0.0","494.208,492.238",0,0
"903.684,378.566","819.408,323.759","776.298,327.701","729.249,468.708","688.188,599.968","858.596,317.87","848.819,458.944","839.06,555.003","660.725,331.582","631.347,337.482","692.077,498.113","688.141,692.075","695.984,317.859","788.013,490.249","772.425,660.742","911.499,366.779","0.0,0.0","885.959,319.868","0.0,0.0","837.037,692.088","837.053,682.27","758.605,674.424","731.223,698.012","713.645,715.604","668.62,698.035",0,1
"901.728,372.779","819.404,323.745","776.26,329.633","729.26,464.82","686.23,598.062","860.528,317.881","848.785,458.891","839.02,554.927","652.88,329.649","631.362,335.497","684.302,507.913","686.191,694.02","680.317,321.78","786.072,492.221","772.399,660.719","907.593,364.886","0.0,0.0","884.139,319.903","0.0,0.0","837.044,692.089","837.064,682.262","758.582,674.433","731.24,697.993","713.65,715.605","676.4,715.583",0,1
"484.419,198.388","496.22,237.524","462.953,233.606","437.398,270.898","433.532,302.196","531.431,239.473","543.146,288.426","551.021,317.864","507.839,337.443","482.412,337.459","488.35,411.934","492.196,484.387","525.63,337.4","537.261,411.888","539.304,478.577","478.598,194.542","492.223,194.438","0.0,0.0","508.006,194.478","541.16,488.345","550.967,486.371","539.278,482.423","0.0,0.0","0.0,0.0","494.186,488.308",0,0
"903.702,370.751","813.564,321.827","772.4,325.729","727.312,464.805","684.243,596.072","856.664,315.937","842.963,453.054","837.063,554.936","666.607,335.494","631.332,341.396","694.017,488.345","682.29,692.047","739.083,351.189","788.009,494.208","770.461,660.708","913.4,361.004","0.0,0.0","882.135,317.803","0.0,0.0","836.979,692.055","837.012,682.241","756.68,672.47","729.359,697.972","713.654,715.605","666.608,698.023",0,1
"901.688,370.793","815.461,319.869","774.313,321.797","727.248,462.894","682.382,594.12","854.728,312.012","840.985,451.082","836.954,554.963","654.852,335.498","625.489,339.46","692.088,486.369","682.214,690.123","737.115,351.215","786.11,494.185","770.435,658.751","907.554,362.888","0.0,0.0","882.035,313.987","0.0,0.0","835.108,692.049","836.975,682.241","756.643,670.496","729.349,697.96","713.646,715.601","664.665,697.99",0,1
"915.372,368.879","811.601,319.83","772.407,319.888","723.414,462.902","682.266,594.091","854.658,312.006","839.067,449.207","835.045,554.935","660.732,335.455","623.494,337.496","686.21,480.513","682.248,693.998","727.361,349.215","780.261,488.347","768.454,656.839","917.387,355.128","0.0,0.0","876.211,312.031","0.0,0.0","835.042,690.139","835.053,682.19","754.74,672.454","729.26,698.033","711.671,715.612","664.628,699.915",0,1
"915.407,368.898","809.663,319.812","772.395,319.81","717.54,462.889","680.375,594.106","852.701,313.956","839.013,449.158","833.128,552.944","662.682,335.479","621.571,337.464","682.283,486.365","680.341,688.133","731.252,355.1","776.249,484.384","764.607,654.832","917.4,355.065","0.0,0.0","874.265,308.142","0.0,0.0","831.177,690.124","833.134,682.2","752.786,670.505","729.292,697.965","709.714,715.605","664.59,697.968",0,1
"905.638,370.8","807.614,317.851","768.486,319.812","715.638,460.944","680.372,592.157","846.853,308.081","838.952,447.204","833.119,552.923","656.796,331.597","619.618,335.517","680.347,486.351","678.37,684.248","727.326,353.125","774.291,480.471","762.612,654.836","913.439,357.091","0.0,0.0","872.296,306.204","0.0,0.0","827.242,688.162","829.23,680.344","748.917,670.503","731.226,697.927","711.685,715.591","662.67,697.864",0,1
"885.983,368.869","805.765,315.888","766.511,317.886","715.547,460.943","680.327,590.245","846.857,308.114","837.107,447.221","831.134,552.952","660.739,329.615","621.523,333.533","678.328,488.343","680.301,684.251","725.345,349.221","772.396,478.544","760.704,652.885","895.802,357.074","0.0,0.0","870.388,306.045","0.0,0.0","825.308,682.281","827.257,676.402","746.94,668.565","733.207,697.957","713.64,715.594","664.613,697.879",0,1
"891.916,368.921","803.734,315.883","760.674,319.787","713.686,460.951","680.294,590.205","842.896,306.125","837.048,447.172","829.229,552.976","652.88,329.659","617.662,335.489","680.236,488.344","680.277,684.211","690.114,319.812","772.399,478.511","760.686,652.865","899.799,357.032","0.0,0.0","870.301,304.097","0.0,0.0","825.321,682.288","827.268,676.41","746.913,668.55","731.273,697.926","713.611,715.592","662.7,696.03",0,1
"554.865,184.661","586.18,212.012","570.687,214.038","564.713,257.106","539.297,272.763","592.209,210.044","582.37,245.459","527.549,274.8","590.239,321.827","572.55,321.842","554.989,396.275","543.165,462.833","729.296,355.094","774.324,482.476","762.578,652.908","551.029,180.724","556.907,178.823","0.0,0.0","572.669,178.856","825.315,682.338","827.274,678.312","746.958,668.537","539.295,476.487","533.351,472.609","545.181,468.752",0,1
"549.018,184.691","580.388,210.128","570.535,212.035","554.956,247.348","0.0,0.0","588.341,208.177","580.43,243.4","562.743,259.077","572.622,319.899","562.789,321.74","545.153,413.866","539.315,476.524","576.509,321.783","547.101,409.97","539.294,464.843","543.131,180.659","554.882,180.666","0.0,0.0","570.638,180.699","0.0,0.0","0.0,0.0","541.173,470.681","0.0,0.0","0.0,0.0","541.189,476.564",0,1
"884.003,366.792","799.816,311.996","758.673,315.93","713.632,458.903","680.223,588.161","839.062,304.175","836.95,445.22","827.222,547.111","647.023,327.677","615.667,335.485","682.341,490.263","678.323,682.289","684.244,313.962","774.34,482.428","760.668,650.99","888.002,351.142","0.0,0.0","868.315,290.491","0.0,0.0","825.344,684.23","829.202,680.217","745.036,666.649","729.291,697.928","711.662,715.587","660.754,695.954",0,1
"884.132,364.936","799.786,310.052","758.668,313.984","713.596,456.999","680.225,586.336","839.037,304.132","835.077,445.191","825.351,543.224","641.136,327.659","611.753,333.569","686.181,476.552","678.334,682.222","678.353,315.928","772.429,478.574","760.651,650.931","891.876,349.25","0.0,0.0","868.289,290.465","0.0,0.0","825.295,682.311","827.241,678.286","745.019,666.567","729.315,697.901","711.678,715.583","662.68,695.918",0,1
"527.542,178.667","558.885,210.071","543.158,210.177","539.318,270.859","525.574,276.763","574.527,208.104","576.48,241.523","566.65,259.158","556.881,327.656","541.256,327.643","529.515,413.808","533.395,484.412","572.501,327.692","596.065,409.914","619.529,478.504","525.568,167.09","539.195,169.01","0.0,0.0","556.942,178.77","617.616,496.16","621.595,494.209","609.818,492.262","527.51,509.908","519.659,507.945","539.271,490.257",0,0
"523.537,178.75","554.909,210.131","539.161,212.167","533.362,268.923","525.498,278.745","570.614,204.259","574.53,245.381","0.0,0.0","552.992,321.869","537.337,321.853","525.579,408.028","525.521,484.388","568.642,323.726","588.325,400.253","617.682,474.61","521.664,168.985","527.504,168.99","0.0,0.0","552.961,176.831","619.561,494.228","621.563,492.288","609.783,490.275","521.612,509.931","509.824,505.97","533.366,488.318",0,1
"511.87,178.703","549.025,208.192","531.414,210.124","525.544,261.091","0.0,0.0","564.695,204.24","572.552,249.341","525.514,276.738","543.166,323.799","527.514,323.765","523.539,407.992","525.605,480.461","558.819,325.693","586.263,402.094","619.589,466.787","509.994,168.972","523.482,168.961","0.0,0.0","541.283,176.784","617.629,490.309","621.599,490.249","617.56,480.505","511.855,502.048","509.816,498.13","537.27,482.467",0,1
